18	not_evaluated
8	poor
6	coarsened
4	little change
4	uncomfortable
4	moderate fecal loading
3	mild degenerative changes
3	not changed from prior
3	good
3	blunted
3	flat
3	unlabored
3	good position
3	closed
3	do not meet ct size criteria for pathology
3	at the cavoatrial junction
3	calm, cooperative
3	sharp upstrokes
3	similar to prior
2	terminates in the right atrium
2	projects over the right atrium
2	slight distention
2	non-bloody
2	in distal svc
2	well preserved
2	in the cavoatrial junction
2	interval resolution
2	minimal residual
2	appears uncomfortable
2	mild distension
2	mild to moderate
2	hyperinflated
2	multilevel degenerative changes
2	not elicited
2	flattened
2	mild diverticulosis
2	2+ bilaterally
2	extrarenal pelvis
2	incompletely evaluated
2	crowding
2	cannot be assessed
2	excretes contrast promptly
2	widened
2	widened, unchanged
2	moderate distress
2	awake, alert and oriented
2	awake, alert
2	measured at porta hepatis
2	small bilateral
2	could not be evaluated
2	breathing comfortably
2	splenomegaly
2	aaox3
2	nad
2	gas-filled loops seen throughout abdomen
2	not as well appreciated
2	ii/vi systolic ejection murmur
2	moderate fecal load
2	magnified by projection
2	tacky
2	moist and pink
2	unreliable
2	small hiatal hernia
2	equal
2	palpable bilaterally
2	gravid
2	wide pulse pressure
2	awake and alert
2	mild discomfort to palpation
2	non-labored
2	moderate degenerative changes
2	anxious
2	oral contrast has not reached
2	extends to mid portion of svc
2	not fully reported
2	awake, alert and oriented x3
2	bulky appearance
2	moderately narrowed by posterior disc osteophyte complex
2	130/70
2	2+ pulses
2	pink
2	mild, persistent, unchanged
2	eomi without nystagmus
2	essentially unchanged
2	multiple, similar in appearance to prior ct
2	tapers distally
2	interval improvement
2	not widened
2	thin
2	bibasilar crackles
2	similar
2	poorly evaluated
2	stool seen
2	persistent
2	magnified by the projection
2	likely distorted secondary to technical factors
2	fully resolved
2	little overall change
2	extends at least to lower stomach
2	persists
1	left ventricular predominance
1	less conspicuous
1	limits assessment
1	side hole close to the ge junction
1	111/56
1	not frankly peritonitic
1	not evident
1	123/72
1	small epigastric scar, well healed, non-surgical
1	malrotated
1	ventral hernia containing small bowel loops
1	extensive metallic artifacts
1	diffuse osteopenia
1	total hip replacement
1	internal nailing
1	loss of compressibility
1	could be pulled back by approximately 5 cm
1	withdrawn
1	fat-containing hernia, unchanged
1	small fat-containing hernia, unchanged
1	multiple diverticula identified
1	approximately 4.5 cm from the carina
1	feeding tube in stomach
1	terminates in the brachiocephalic/caval junction
1	partially silhouetted
1	vicarious excretion of contrast
1	extends to mid-lower portion of svc
1	somewhat poor inspiratory effort
1	likely port site hernia
1	brown stool
1	paroxysmal atrial fibrillation
1	sick sinus syndrome
1	diastolic insufficiency
1	hypothyroidism
1	copd
1	side port well beyond ge junction
1	hazy
1	dropped
1	small amount, complex
1	very fast
1	measures only about 1.5 cm
1	tip in proximal stomach
1	ends in mid svc
1	97% on 4l
1	moderate distress, uncomfortable
1	intermittent confusion
1	mild labored breathing
1	concerning
1	confused
1	diagnostic laparoscopy/lysis of adhesions
1	well positioned 3.2 cm above the carina
1	component of volume overload/chf not excluded
1	at the atriocaval junction
1	excluded from study
1	coursing below the diaphragm with tip in the body of the stomach
1	terminates 4.4 cm from the carina
1	projects beyond the field of view
1	3.7 cm from carina
1	relatively well aerated
1	in place, coursing beneath the hemidiaphragms and beyond the radiograph
1	newly placed from right upper extremity
1	projects over mid-to-lower svc
1	upper range of normal
1	146/68
1	localized peritonitis
1	injected
1	minimal bibasilar crackles
1	+2
1	terminates in the superior svc
1	pigtail drainage catheter in place
1	diverticulosis throughout
1	multiple foci of extraluminal air adjacent
1	scattered foci throughout
1	several locules of air inferior to the liver
1	foci of extraluminal air
1	small hiatal hernia with reflux of contrast
1	runny/loose
1	usual amount
1	in left upper quadrant
1	bilateral but asymmetric
1	predominantly perihilar
1	terminates in mid svc
1	below left hemidiaphragm
1	courses below the diaphragm
1	in the body of the stomach
1	in the fundus
1	could be advanced
1	ends in proximal right main bronchus, should be withdrawn 4 cm
1	not apparent
1	bibasilar, moderately severe
1	119/67
1	somnolent but arousable
1	projects over the upper right atrium, approximately 2.5 cm beyond the cavoatrial junction
1	well-healed
1	erratic but at baseline
1	eventration
1	expanded, measuring 21 mm in anterior posterior dimension, double the size of the left
1	partial mitral valvuloplasty
1	faint crackles
1	excoriations
1	unwell
1	interval rib fracture with healing callus
1	transvaginal drainage performed
1	non-visualized
1	not suitable for evaluation
1	numerous loops visualized
1	interval resolution with minimal residual air
1	percutaneous pigtail drainage catheter in place
1	extensive, similar to prior study
1	clean
1	partial mastectomy
1	moderately firm
1	not expanded
1	below baseline (130s-140s/80)
1	mildly pale
1	nonbleeding
1	moves all 4 extremities
1	excrete contrast promptly
1	in place, coiled in the stomach, with side hole distal to the esophagogastric junction
1	portion visualized
1	slight asymmetry
1	minimally unfolded
1	persistent blunting
1	slight blunting persists
1	possible mucous plugging
1	120/60
1	bibasilar ronchi
1	stool in vault
1	slight blunting
1	extensive, pancolonic diverticulosis
1	small volume, some loculated, slightly higher than water in attenuation
1	small, fat-containing, indirect left inguinal hernia
1	multiple hyperdense structures resembling hernia mesh anchors, stable
1	lipoma subjacent to rectus femoris
1	small t2 hyperintensities, likely side-branch ipmns
1	visible sitting at 90 degrees
1	grade 3 systolic ejection murmur with diastolic component
1	moving air well bilaterally
1	diffuse purpura
1	endorses feeling down
1	significantly rotated to left
1	emphysema
1	new right ij in place, tip at lower svc/upper right atrium
1	atherosclerotic changes
1	tip below ge junction, likely in stomach
1	generalized peritonitis
1	97.2 f (tmax), 98.2 f (tc)
1	diffuse epigastric pain on palpation
1	elicits pain but not inspiratory arrest
1	measuring 1.5 and 1 cm respectively
1	well developed
1	well nourished
1	incompletely imaged, ending within right atrium and ventricle
1	not definitely identified
1	fat-containing
1	partially visualized within the gallbladder
1	filled with debris
1	not well appreciated
1	dual-lead left-sided
1	somnolent but arousable to voice
1	levoscoliosis
1	internal debris
1	without signs of infection
1	not extending to liver
1	slight splenomegaly
1	identified in medial right upper quadrant
1	does not suggest intrahepatic location
1	not palpable
1	well healed rlq scar
1	mild diffuse disease
1	terminates in distal svc
1	atraumatic/normocephalic
1	much slower than baseline
1	129/62
1	tapers down distally
1	mild focal narrowing
1	mild narrowing
1	moderately narrowed at the ampulla
1	mild distention
1	148/55
1	crouched in bed, vomiting
1	well healing sternotomy scar
1	116/76
1	extreme scoliosis
1	slightly shallow
1	in standard position
1	140/70
1	well-healed incision
1	terminating in expected location
1	rales bilaterally, improve with deep inspiration
1	iii/vi holosystolic murmur best heard at rusb, heard throughout precordium
1	6 cm
1	fine erythematous rash
1	passing beyond ge junction
1	eomi bilaterally
1	well healed
1	age appropriate
1	141/70
1	dry, clean, intact
1	slightly coarsened
1	97.7 po
1	98 ra
1	1+ bilaterally
1	bandaged
1	moving all extremities appropriately
1	mild apparent height loss
1	possible intramural gas
1	134/88
1	may be fused
1	moderately well inflated
1	mild blunting
1	cannot be visualized
1	uncomfortable, unable to remain still
1	moves all 4 extremities equally and strongly
1	wedge compression deformity, appearing new, chronicity uncertain
1	mild contour deformity involving lateral aspect
1	possible contour deformity
1	old fracture
1	cannot be evaluated
1	substantial
1	minimal overhydration
1	pullback 2 cm suggested for optimal positioning
1	not changed over the last three hours
1	suture anchor overlying left humeral head
1	exaggerated appearance
1	smoothly tapering to the ampulla
1	not aneurysmal
1	severe hyperinflation
1	144/64
1	92% on 2.5l
1	hypoxia
1	mild distress
1	unable to sleep on right side
1	initially colicky, now constant
1	exacerbated with food intake
1	partially improved with morphine
1	141/85
1	lying comfortably
1	clean, dry, intact; closed with staples
1	clean, dry, intact; closed with steri-strips
1	clean, dry, intact; covered with gauze dressing
1	systolic blowing murmur at left intercostal space
1	projects over approximate location of right atrium
1	slightly widened appearance
1	obliterated
1	loss
1	extends into right atrium
1	expressive aphasia, able to communicate effectively
1	improving
1	nonhemorrhagic, small
1	nonhemorrhagic, trace
1	124/91
1	possible new
1	removed (extubated)
1	not significantly changed
1	mild, slightly worse
1	continued
1	possibly reflects better inspiration rather than true change
1	terminating in the distal esophagus
1	not clearly evident
1	gassed out
1	empty sella
1	prior cesarean section
1	prior bilateral salpingectomies
1	moderate to large amount of stool
1	well healed surgical scars consistent with prior abdominal surgeries
1	moving all four extremities with purpose
1	postprandial, recurrent
1	c-section x2
1	visualized up to the pancreatic head
1	abrupt taper with fixed loss in caliber
1	minimal, nonspecific, not significantly changed
1	mild degenerative changes, particularly at l1-l2
1	137/78
1	98% on supplemental oxygen
1	non-visualized distally
1	in place, without definite evidence of malposition
1	mild degenerative endplate changes
1	standard position projecting at 45 degrees from the horizontal
1	standard position, approximately 45 degrees from horizontal
1	likely chronic wedging
1	somnolent
1	perrla bilaterally
1	not inquired
1	attenuated
1	partially assessed
1	120/58
1	broken
1	anechoic structure with clear back wall and posterior through transmission
1	second sternal wire fractured
1	mildly indistinct
1	skinfold, not pneumothorax
1	moderate overhydration
1	ends in the high-to-mid svc
1	coarse
1	coarsened reticular interstitial markings
1	somewhat unfolded
1	demineralized
1	age-appropriate
1	ventriculomegaly, age-appropriate
1	borderline thick
1	112/80
1	possible superimposed hemorrhage
1	114/73
1	aox3
1	small amount of ecchymosis around drain
1	bile draining freely, intermittently blood-tinged
1	subsided
1	ambulatory without assistance
1	intermediate density contents
1	high in the neck
1	at the origin of the svc
1	somewhat cleared
1	empty
1	not optimally visualized
1	measures approximately 4 mm
1	air throughout
1	lucency projecting slightly inferior to left diaphragm, likely motion artifact
1	slightly larger
1	redistribution
1	patchy areas of volume loss
1	slightly worse
1	malpositioned coursing up the left ij with tip off the film
1	just past the axilla, probably in the brachiocephalic vein
1	clean and dry
1	top-normal in size for patient's age
1	sclerotic focus, unchanged
1	focal outpouching
1	ctab
1	tympanic
1	likely side branch ipmn
1	pain reported over gallbladder
1	drain projects over right upper quadrant
1	degenerative changes seen throughout
1	projects over the distal stomach
1	similar but slightly larger than prior study
1	severe atherosclerotic change
1	origin may be occluded
1	high-grade stenosis
1	moderate degenerative change
1	leftward deviation
1	leftward deviation at thoracic inlet
1	identified in appropriate location within gallbladder lumen
1	in distress, writhing in pain
1	133/84
1	prompt excretion of contrast
1	known necrotizing pancreatitis
1	loss of normal fat planes
1	concern for impending thrombosis
1	evolving extensive
1	anterior bowing
1	partially degraded by respiratory motion artifact
1	newly placed percutaneous tube centered within gallbladder
1	diverticulosis
1	generalized osteopenia
1	marked kyphosis
1	perhaps very mild bilaterally
1	prior mastoidectomy with cochlear implant placement
1	unable to obtain adequate fluoroscopic target; procedure aborted
1	encephalomalacia
1	penile implant in place
1	tapers smoothly near papilla
1	prolonged / abnormal
1	133/79
1	pressured speech
1	mid to proximal svc
1	in the mid svc
1	large amount, unchanged
1	hyper-vascular
1	large amount
1	incoherent
1	legally blind
1	hard of hearing
1	occlusive thrombus
1	nonocclusive thrombus
1	could not be assessed
1	103/57
1	dextroconvex scoliosis
1	inconsistently identified
1	well inflated
1	141/75
1	terminates 4.5 cm from the carina
1	tiny 2-mm focus of hyperdensity at gray-white matter junction lateral to left frontal horn
1	terminates in the right atrium, 2-3 cm beyond the cavoatrial junction
1	standard position
1	mild tortuosity
1	hyperdensity focus, persistent
1	terminating at the level of the junction of the superior vena cava and right atrium
1	98% on 2l
1	lethargic, arousable to loud voice
1	systolic ejection murmur at lusb
1	persistent bilateral nephrogram
1	catheter with balloon in place
1	moderate to severe degenerative changes
1	stool-filled
1	firm
1	inability to take po
1	tonsillectomy
1	accessory right renal vein identified
1	140/83
1	moderate distress, in bed, in pain
1	tubal ligation
1	non cirrhotic
1	small sliding-type hiatus hernia
1	narrowed
1	dark red
1	firm then diarrhea
1	sharply marginated endplate sclerosis involving right aspect
1	asymmetric disc space height loss on the right
1	minimal hiatal hernia
1	mild splenomegaly
1	moderate degenerative vertebral disease
1	old healed right-sided rib fractures
1	non-characteristic subpleural granulomas
1	even
1	interval-new blunting
1	tip extends to lower portion of svc
1	silhouetted
1	ends in the lower svc
1	ends in the lower svc in appropriate position
1	mildly hyperinflated
1	diffuse demineralization
1	bilateral acromioclavicular arthropathy
1	air-filled loops, single loop upper limits of normal in diameter
1	confused, inattentive, unable to recall recent events
1	blind-ending tubular structure connecting to cecum
1	pain elicited on scanning
1	mild interstitial abnormality, likely chronic
1	ambulating
1	tolerating regular diet
1	strong
1	does not appear ill
1	123/64
1	moves all four extremities
1	g3p0, all pregnancies ended in miscarriage
1	restricted diffusion
1	single intrauterine pregnancy
1	anterior fundal
1	101/70
1	pale
1	deferred
